epoch,strategy,arm,current reward,cumulative reward,optimal
111,Epsilon Greedy,3,180.66705502965158,17674.32795186959,False
112,Epsilon Greedy,5,169.0843040941254,17843.412255963714,False
113,Epsilon Greedy,3,180.24448532649413,18023.656741290208,False
114,Epsilon Greedy,3,179.7627633794016,18203.419504669608,False
115,Epsilon Greedy,3,180.96393841570907,18384.383443085317,False
116,Epsilon Greedy,3,181.04240571451598,18565.425848799834,False
117,Epsilon Greedy,3,180.6415890193385,18746.067437819172,False
118,Epsilon Greedy,3,180.95803225862213,18927.025470077795,False
119,Epsilon Greedy,3,181.9920008727194,19109.017470950515,False
120,Epsilon Greedy,9,75.24900029470528,19184.26647124522,False
121,Epsilon Greedy,3,179.98978474227135,19364.256255987493,False
122,Epsilon Greedy,3,182.18081467195316,19546.437070659445,False
123,Epsilon Greedy,3,179.36101552516328,19725.798086184608,False
124,Epsilon Greedy,3,180.9142493479274,19906.712335532535,False
125,Epsilon Greedy,3,181.5954661811661,20088.3078017137,False
126,Epsilon Greedy,3,181.22036864914972,20269.52817036285,False
127,Epsilon Greedy,3,181.18778307659085,20450.71595343944,False
128,Epsilon Greedy,7,60.264843879919596,20510.98079731936,False
129,Epsilon Greedy,9,74.6424514272414,20585.6232487466,False
130,Epsilon Greedy,7,59.48378607660252,20645.107034823202,False
131,Epsilon Greedy,3,180.76807324668042,20825.875108069882,False
132,Epsilon Greedy,3,181.7256514638882,21007.60075953377,False
133,Epsilon Greedy,8,153.14615948626584,21160.746919020035,False
134,Epsilon Greedy,3,180.49629116795538,21341.24321018799,False
135,Epsilon Greedy,3,181.73144897665657,21522.974659164647,False
136,Epsilon Greedy,3,179.69603789459086,21702.67069705924,False
137,Epsilon Greedy,3,179.31094367953642,21881.981640738773,False
138,Epsilon Greedy,4,108.01237668609164,21989.994017424866,False
139,Epsilon Greedy,3,178.60521942448597,22168.599236849353,False
140,Epsilon Greedy,3,179.1255845918851,22347.72482144124,False
141,Epsilon Greedy,4,107.80010328529504,22455.524924726535,False
142,Epsilon Greedy,3,180.58687438816045,22636.111799114697,False
143,Epsilon Greedy,7,61.075073841221695,22697.186872955917,False
144,Epsilon Greedy,3,180.60555829500723,22877.792431250924,False
145,Epsilon Greedy,3,181.457989120454,23059.25042037138,False
146,Epsilon Greedy,3,182.76481368515178,23242.015234056533,False
147,Epsilon Greedy,3,180.93170257430134,23422.946936630833,False
148,Epsilon Greedy,3,179.82915062956582,23602.776087260398,False
149,Epsilon Greedy,4,108.10411072280613,23710.880197983202,False
150,Epsilon Greedy,3,179.3650778685323,23890.245275851736,False
151,Epsilon Greedy,3,181.41501134669002,24071.660287198425,False
152,Epsilon Greedy,3,182.04670283462528,24253.70699003305,False
153,Epsilon Greedy,3,180.77682183571036,24434.48381186876,False
154,Epsilon Greedy,3,180.3053034958676,24614.789115364627,False
155,Epsilon Greedy,3,181.68167831615324,24796.47079368078,False
156,Epsilon Greedy,3,179.48532201338972,24975.956115694167,False
157,Epsilon Greedy,3,181.28183729823866,25157.237952992407,False
158,Epsilon Greedy,3,180.416435566258,25337.654388558665,False
159,Epsilon Greedy,3,182.13340355750705,25519.78779211617,False
160,Epsilon Greedy,2,52.287717783897655,25572.075509900067,False
161,Epsilon Greedy,3,181.18705805542535,25753.26256795549,False
162,Epsilon Greedy,3,180.42185182344147,25933.684419778932,False
163,Epsilon Greedy,3,179.27906948883617,26112.963489267768,False
164,Epsilon Greedy,3,178.8959392800428,26291.85942854781,False
165,Epsilon Greedy,3,178.3454323037317,26470.204860851543,False
166,Epsilon Greedy,3,181.21515012248148,26651.420010974023,False
167,Epsilon Greedy,3,180.28322989024733,26831.70324086427,False
168,Epsilon Greedy,3,181.1389403264849,27012.842181190754,False
169,Epsilon Greedy,3,181.04322517744316,27193.885406368197,False
170,Epsilon Greedy,3,179.73126602707714,27373.616672395274,False
171,Epsilon Greedy,3,182.13205872151,27555.748731116782,False
172,Epsilon Greedy,3,180.28136806714232,27736.030099183925,False
173,Epsilon Greedy,3,182.00558933813994,27918.035688522064,False
174,Epsilon Greedy,5,169.2564366945804,28087.292125216645,False
175,Epsilon Greedy,3,181.94337084085663,28269.235496057503,False
176,Epsilon Greedy,3,180.4034824546765,28449.63897851218,False
177,Epsilon Greedy,3,178.35925543102834,28627.998233943206,False
178,Epsilon Greedy,3,181.76375718623794,28809.761991129446,False
179,Epsilon Greedy,3,180.61297019826614,28990.37496132771,False
180,Epsilon Greedy,3,181.33171654459682,29171.706677872306,False
181,Epsilon Greedy,3,179.491568625679,29351.198246497985,False
182,Epsilon Greedy,0,60.89800236106194,29412.096248859045,False
183,Epsilon Greedy,0,61.288192347948204,29473.384441206992,False
184,Epsilon Greedy,9,74.16034624424401,29547.544787451236,False
185,Epsilon Greedy,3,179.9653966564654,29727.5101841077,False
186,Epsilon Greedy,1,30.467450250890845,29757.97763435859,False
187,Epsilon Greedy,3,180.53790843643688,29938.515542795027,False
188,Epsilon Greedy,3,180.79001600453364,30119.30555879956,False
189,Epsilon Greedy,3,181.689898890134,30300.995457689693,False
190,Epsilon Greedy,2,52.38177509291434,30353.37723278261,False
191,Epsilon Greedy,3,182.37435393466026,30535.75158671727,False
192,Epsilon Greedy,3,180.54185503149088,30716.29344174876,False
193,Epsilon Greedy,3,181.85891551918454,30898.152357267943,False
194,Epsilon Greedy,3,180.00566452989844,31078.15802179784,False
195,Epsilon Greedy,3,180.10580554796704,31258.263827345807,False
196,Epsilon Greedy,3,180.58060673378023,31438.844434079587,False
197,Epsilon Greedy,3,179.43321395978646,31618.277648039373,False
198,Epsilon Greedy,2,53.073034656611966,31671.350682695986,False
199,Epsilon Greedy,3,180.89435282145817,31852.245035517444,False
200,Epsilon Greedy,3,179.1858923178363,32031.43092783528,False
201,Epsilon Greedy,3,181.07870639936831,32212.509634234648,False
202,Epsilon Greedy,6,189.4515924265546,32401.961226661202,True
203,Epsilon Greedy,6,189.92228229739624,32591.8835089586,True
204,Epsilon Greedy,2,52.297256582314915,32644.180765540914,False
205,Epsilon Greedy,6,188.17712660470065,32832.357892145614,True
206,Epsilon Greedy,6,188.79284807919328,33021.15074022481,True
207,Epsilon Greedy,6,188.313821412403,33209.464561637215,True
208,Epsilon Greedy,8,150.21950205000482,33359.68406368722,False
209,Epsilon Greedy,6,189.54217106328568,33549.22623475051,True
210,Epsilon Greedy,6,188.81364406958312,33738.03987882009,True
211,Epsilon Greedy,6,189.75382746222348,33927.79370628231,True
212,Epsilon Greedy,6,189.2712902564156,34117.06499653873,True
213,Epsilon Greedy,6,189.27685003077298,34306.3418465695,True
214,Epsilon Greedy,6,187.2341928958426,34493.57603946534,True
215,Epsilon Greedy,6,189.12391190659355,34682.699951371935,True
216,Epsilon Greedy,6,188.76161736858188,34871.46156874052,True
217,Epsilon Greedy,6,189.94074387675835,35061.402312617276,True
218,Epsilon Greedy,6,188.41639258777957,35249.818705205056,True
219,Epsilon Greedy,6,192.0175273385994,35441.836232543654,True
220,Epsilon Greedy,6,189.65909126291626,35631.49532380657,True
221,Epsilon Greedy,6,188.18815103315126,35819.68347483972,True
222,Epsilon Greedy,6,187.86264813001824,36007.54612296974,True
223,Epsilon Greedy,6,190.09282810090824,36197.63895107065,True
224,Epsilon Greedy,1,33.8535384990151,36231.49248956967,False
225,Epsilon Greedy,6,188.1933467137766,36419.68583628345,True
226,Epsilon Greedy,5,171.18986837333622,36590.875704656784,False
227,Epsilon Greedy,6,188.08628073646847,36778.96198539325,True
228,Epsilon Greedy,6,190.16846643955054,36969.1304518328,True
229,Epsilon Greedy,6,187.9152746253934,37157.0457264582,True
230,Epsilon Greedy,9,74.3729046232999,37231.4186310815,False
231,Epsilon Greedy,6,187.35835990476895,37418.77699098627,True
232,Epsilon Greedy,6,189.731485985506,37608.50847697177,True
233,Epsilon Greedy,6,189.5600156776462,37798.06849264942,True
234,Epsilon Greedy,6,188.83073109026574,37986.89922373969,True
235,Epsilon Greedy,7,59.973667166691286,38046.87289090638,False
236,Epsilon Greedy,6,188.5859907480529,38235.458881654435,True
237,Epsilon Greedy,6,187.61696637460796,38423.075848029046,True
238,Epsilon Greedy,6,189.531041452687,38612.606889481736,True
239,Epsilon Greedy,6,189.27010600151434,38801.87699548325,True
